0.00188689,-0.857821,-2.27034,-0.989533,-1.61602,1.56202,0.646649
0.00391526,-0.857833,-2.27034,-0.989509,-1.61606,1.56203,0.646661
0.00595305,-0.857845,-2.27037,-0.989533,-1.61606,1.56205,0.646684
0.00803488,-0.857809,-2.27033,-0.989545,-1.61606,1.56206,0.646684
0.00998416,-0.857833,-2.27034,-0.989522,-1.61603,1.56202,0.646684
0.0119537,-0.857833,-2.27034,-0.989545,-1.61603,1.56205,0.646684
0.0139744,-0.857833,-2.27036,-0.989522,-1.61608,1.56204,0.646672
0.0159131,-0.857809,-2.27037,-0.989533,-1.61608,1.56202,0.646661
0.0179015,-0.857809,-2.27037,-0.989497,-1.61603,1.56203,0.646661
0.0199247,-0.857833,-2.27033,-0.989509,-1.61602,1.56204,0.646708
0.0220818,-0.857797,-2.27036,-0.989545,-1.61602,1.56203,0.646696
0.0238649,-0.857809,-2.27036,-0.989522,-1.61604,1.56204,0.646708
0.02593,-0.857785,-2.27034,-0.989545,-1.61604,1.562,0.646661
0.0278815,-0.857857,-2.27036,-0.989545,-1.61607,1.56203,0.646672
0.0298142,-0.857821,-2.27034,-0.989533,-1.61607,1.56204,0.646672
0.0319555,-0.857821,-2.27034,-0.989533,-1.61603,1.562,0.646649
0.0338843,-0.857857,-2.27037,-0.989522,-1.61606,1.56204,0.646649
0.035858,-0.857821,-2.27038,-0.989533,-1.61608,1.56199,0.646684
0.0378838,-0.857845,-2.27034,-0.989533,-1.61604,1.56203,0.646696
0.039862,-0.857833,-2.27036,-0.989522,-1.61606,1.56202,0.646672
0.0419183,-0.857833,-2.27037,-0.989545,-1.61606,1.562,0.646684
0.0438545,-0.857821,-2.27039,-0.989533,-1.61604,1.56202,0.646684
0.0458196,-0.857833,-2.27038,-0.989545,-1.61602,1.56203,0.646625
0.0478188,-0.857845,-2.27039,-0.989557,-1.61606,1.562,0.646696
0.0499106,-0.857821,-2.27033,-0.989533,-1.61603,1.56203,0.646732
0.051897,-0.857833,-2.27037,-0.989533,-1.61604,1.56203,0.646661
0.0539246,-0.857797,-2.27036,-0.989522,-1.61606,1.562,0.646649
0.055917,-0.857845,-2.27037,-0.989509,-1.61601,1.56203,0.646661
0.0578911,-0.857833,-2.27036,-0.989533,-1.61606,1.56204,0.646696
0.059891,-0.857833,-2.27034,-0.989522,-1.61606,1.56202,0.646708
0.0619356,-0.857797,-2.27034,-0.989522,-1.61603,1.56204,0.646684
0.063897,-0.857821,-2.27037,-0.989545,-1.61603,1.56204,0.646708
0.065843,-0.857821,-2.27034,-0.989533,-1.61607,1.56202,0.646684
0.0678699,-0.857833,-2.27033,-0.989545,-1.61607,1.56199,0.646696
0.0698285,-0.857833,-2.27033,-0.989485,-1.61604,1.56203,0.646684
0.0718187,-0.857809,-2.27038,-0.989533,-1.61604,1.56202,0.646661
0.0738397,-0.857809,-2.27034,-0.989509,-1.61601,1.56202,0.646672
0.0758541,-0.857857,-2.27033,-0.989533,-1.61604,1.56202,0.646684
0.0778562,-0.857833,-2.27033,-0.989509,-1.61602,1.56199,0.646661
